DB,SMILES,BA_type,alk_mods,ring_mods,delta_mz
BILELIB19,CC(CCC(=O)N(C)CC(O)C(O)C(O)C(O)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(C)CC(O)C(O)C(O)C(O)CO'],['[*]O'],177.10065772
BILELIB19,CC(CCC(=O)NC(CCS(=O)(=O)O)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NC(CCS(=O)(=O)O)C(=O)O'],['[*]O'],165.010128464
BILELIB19,CC(C)C(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O,is_c24,['[*]C(C)CCC(=O)NC(C(=O)O)C(C)C'],['[*]O'],99.068968288
BILELIB19,CC(CC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c23,['[*]C(C)CC(=O)NCCS(=O)(=O)O'],['[*]O'],107.004649096
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],"['[*]=O', '[*]O']",104.988999096
BILELIB19,CC(CCC(=O)NCC(C)(C)S(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCC(C)(C)S(=O)(=O)O'],['[*]O'],135.035949288
BILELIB19,CC(CCC(=O)N(CCS(=O)(=O)O)Cc1ccccc1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(CCS(=O)(=O)O)Cc1ccccc1'],['[*]O'],197.051599352
BILELIB19,CC(CCC(=O)N(C)CCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(C)CCS(=O)(=O)O'],['[*]O'],121.020294604
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]=O'],100.957703588
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CCCCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00464454
BILELIB19,CC(CC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c23,['[*]C(C)CC(=O)NCCS(=O)(=O)O'],['[*]O'],107.004653716
BILELIB19,COC(=O)CCC(C)C1CCC2C3C(OC(C)=O)CC4CC(=O)C(OC(C)=O)CC4(C)C3CC(OC(C)=O)C12C,is_c24,['[*]C(C)CCC(=O)OC'],"['[*]=O', '[*]OC(C)=O']",186.016983052
BILELIB19,CC(CCC(=O)NCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)NCC(=O)O'],['[*]O'],114.043477192
BILELIB19,CC(=CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)=CCC(=O)O'],['[*]O'],-2.01510030399999
BILELIB19,CC(CCC(=O)O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]=O'],-4.03075498799996
BILELIB19,CC(CCC(=O)O)C1C(O)CC2C3C(O)CC4CC(O)CCC4(C)C3CCC21C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3=CC=C4CC(=O)CCC4(C)C3CCC21C,is_c24,['[*]C(C)CCC(=O)O'],['[*]=O'],-6.04640505199996
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],"['[*]=O', '[*]O']",104.989003716
BILELIB19,CC(CCCC(CO)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c27,['[*]C(C)CCCC(CO)C(=O)O'],['[*]O'],15.995469192
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OS(=O)(=O)O']",95.95227462
BILELIB19,CC(CCC(=O)NC(CCCN=C(N)N)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NC(CCCN=C(N)N)C(=O)O'],['[*]O'],156.101665384
BILELIB19,CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O,is_c24,['[*]C(C)CCC(=O)NC(CCSC)C(=O)O'],['[*]O'],131.041039288
